Sample	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	D.treeLikelihood
31000	-33406.04949257392	-33162.20750911554	-243.84198345837797	805.4191230959402	0.45878073576630424	72.353591021207	33.14339211596641	47.5286011215457	1095.0935894920026	-33162.20750911554
32000	-33415.54018776854	-33167.86744570071	-247.6727420678396	693.8500762473418	0.40041378449001963	57.96007932032743	33.14339211596641	48.28275083439452	1108.0005390877648	-33167.86744570071
33000	-33406.85322727371	-33161.42950810905	-245.42371916465305	719.215040102368	0.3556023851885981	60.561492693326365	30.727282217979035	47.100521073373535	1086.4110711832518	-33161.42950810905
34000	-33418.5348406644	-33170.71136302727	-247.82347763712724	793.8749019477389	0.41932105368096234	70.21756476259091	32.677417071932545	48.09266120778477	1077.424426554585	-33170.71136302727
35000	-33411.02053366685	-33165.22163119308	-245.7989024737687	713.0413011556536	0.36600209048130455	69.39710927422053	32.677417071932545	48.80850409353158	1109.3831067464498	-33165.22163119308
36000	-33414.33282059143	-33168.01598988236	-246.31683070906908	783.5821917659837	0.4317229599311363	69.10566923070694	32.677417071932545	48.23671505614047	1098.778257308731	-33168.01598988236
37000	-33417.39277250875	-33168.38910970694	-249.00366280180708	1239.015561763599	0.4879302407931332	60.751238795336725	32.677417071932545	47.431868629381	1084.4262672459586	-33168.38910970694
38000	-33414.19824120602	-33164.954734858904	-249.24350634711138	804.541161791013	0.45618965993547034	81.22764916216845	32.677417071932545	46.95151783997162	1072.8296353433475	-33164.954734858904
39000	-33406.60542728413	-33160.45093308597	-246.1544941981535	753.4504698742747	0.44012136572041227	64.89547085173125	32.677417071932545	48.923080380534316	1094.9856194352406	-33160.45093308597
40000	-33414.14489833676	-33166.181702734	-247.96319560275907	675.2100718964733	0.4082022453847432	64.89547085173125	32.677417071932545	48.7044131258304	1077.7646192086725	-33166.181702734
41000	-33415.00984240437	-33166.488026882056	-248.52181552231275	987.4936627999157	0.43634319189728504	77.83587849879756	32.677417071932545	48.796135811670965	1101.409554869003	-33166.488026882056
42000	-33403.75242110569	-33157.40488606129	-246.34753504439976	577.9942990536894	0.3682459899020546	70.52615669719978	32.677417071932545	47.76875565624714	1082.5895919723016	-33157.40488606129
43000	-33424.27251064444	-33175.73243441617	-248.54007622826987	951.0115086410848	0.37836647873279433	70.37145330438489	32.677417071932545	49.491122534776096	1123.2479222938264	-33175.73243441617
44000	-33418.499738516184	-33169.40177808776	-249.09796042842044	820.5467631129706	0.3824948870872018	67.15944594051093	32.677417071932545	49.05305561864991	1100.0101801465255	-33169.40177808776
45000	-33417.499000076954	-33171.081431429695	-246.41756864726082	706.0366755853964	0.43003069067929955	54.40797622010638	32.677417071932545	46.77987096724657	1084.6986929657387	-33171.081431429695
46000	-33425.668907044914	-33179.626613717315	-246.0422933275962	701.7674773467827	0.49581772105900407	72.47382294517732	32.677417071932545	46.12845299357342	1056.7251162334167	-33179.626613717315
47000	-33415.19249710657	-33171.10618634833	-244.08631075823942	781.1455674199874	0.40233080894981904	58.38200643471379	32.677417071932545	48.332587656397294	1107.1575839419913	-33171.10618634833
48000	-33414.85278830181	-33165.557588310236	-249.29519999157134	1080.8395177066593	0.4017590512864703	59.27220607203538	32.677417071932545	49.93199701879263	1127.5727015083683	-33165.557588310236
49000	-33416.13155310117	-33169.535517620745	-246.59603548042801	787.4662234237281	0.36482885409520943	70.82071155944313	32.677417071932545	48.26157797610594	1120.3789617379541	-33169.535517620745
50000	-33405.69603989159	-33159.235836454915	-246.46020343667533	651.1043575383218	0.47900873126168264	56.07348698225376	32.677417071932545	47.069694722500074	1074.6232483357671	-33159.235836454915
51000	-33406.67245772065	-33160.686889456105	-245.98556826454188	819.3593279224923	0.4704646356292839	63.71823702983715	32.677417071932545	48.01589232414816	1099.5537696518986	-33160.686889456105
52000	-33418.14092189429	-33171.015829848846	-247.12509204544628	905.416322280793	0.3942862143075538	61.97072914087317	32.85028106101723	48.854055943478876	1093.762342421867	-33171.015829848846
53000	-33407.38060469401	-33162.38846545968	-244.9921392343277	756.9721279765106	0.3419929685437355	63.09475122071745	31.711251453582026	47.986201104911544	1107.9331252768757	-33162.38846545968
