Sample	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	D.treeLikelihood
43000	-4804.089445438663	-4714.642324926654	-89.44712051200862	43.22567285287807	8.872230191018817	1.3958011615892707	1.6842168317304407	49.31558757618658	-4714.642324926654
44000	-4807.187683246858	-4714.30090252605	-92.8867807208077	35.825641479008304	8.872230191018817	1.3958011615892707	1.6897045883214914	47.21202712840492	-4714.30090252605
45000	-4813.291581735762	-4720.073251995698	-93.21832974006381	30.594973437826486	8.872230191018817	1.3958011615892707	1.6897045883214914	48.12918682067681	-4720.073251995698
46000	-4799.785684923262	-4707.2980291397425	-92.48765578351993	38.650857356859916	8.335963986772292	1.3958011615892707	1.6897045883214914	48.510690612504085	-4707.2980291397425
47000	-4804.6929707684485	-4709.5650212783785	-95.12794949007016	45.37311352553177	9.176770180949188	1.3958011615892707	1.6695131621701969	47.832426352922056	-4709.5650212783785
48000	-4805.808955297565	-4710.605904229143	-95.20305106842225	57.717708741074816	9.176770180949188	1.400631784717752	1.6695131621701969	47.94877651228896	-4710.605904229143
49000	-4802.80395674854	-4712.988145134907	-89.81581161363282	71.87037493412728	9.354862425666516	1.400631784717752	1.680260208585617	48.54735162921691	-4712.988145134907
50000	-4800.230081236634	-4707.082107909675	-93.14797332695883	47.88348546048451	9.354862425666516	1.400631784717752	1.6777797891921007	48.67549335122784	-4707.082107909675
51000	-4799.222239241265	-4710.189367027304	-89.03287221396143	59.77863326309521	9.699652209814204	1.400631784717752	1.6628013847147691	48.1656951137222	-4710.189367027304
52000	-4796.700530601134	-4707.189897674203	-89.51063292693118	58.64817755795352	9.699652209814204	1.400631784717752	1.6628013847147691	48.84049433190699	-4707.189897674203
53000	-4801.837461572316	-4715.262520235004	-86.57494133731241	58.64817755795352	9.597258760666824	1.400631784717752	1.6815301523424468	48.89822333169709	-4715.262520235004
54000	-4799.587979612702	-4710.4953631578655	-89.09261645483615	41.761311150169774	8.802881888979028	1.400631784717752	1.6815301523424468	49.543560651734175	-4710.4953631578655
55000	-4807.080155043688	-4717.147151776169	-89.93300326751873	49.23325221315775	8.802881888979028	1.400631784717752	1.6879085301438657	47.437705543598895	-4717.147151776169
56000	-4805.8709673715375	-4717.67260412985	-88.19836324168787	47.28583255134112	8.802881888979028	1.400631784717752	1.6879085301438657	47.786026564183565	-4717.67260412985
57000	-4804.719537966999	-4713.903380085637	-90.81615788136278	45.39158933823675	8.802881888979028	1.400631784717752	1.694766374108504	48.469808497679594	-4713.903380085637
58000	-4806.875763487686	-4717.406767394803	-89.46899609288265	50.457428520518626	8.802881888979028	1.400631784717752	1.694766374108504	49.27293967363819	-4717.406767394803
59000	-4795.719771391529	-4712.446011502632	-83.27375988889668	53.63021050801202	8.802881888979028	1.400631784717752	1.694766374108504	50.42904503869525	-4712.446011502632
60000	-4795.578612023831	-4708.371141378453	-87.20747064537794	47.62697956750862	8.802881888979028	1.400631784717752	1.6831488698844916	48.53730588311047	-4708.371141378453
61000	-4802.718063240717	-4711.655216228751	-91.0628470119663	46.352111496077974	8.932493669078717	1.400631784717752	1.6861953910544547	48.24086041591296	-4711.655216228751
62000	-4809.500014272545	-4720.941437985353	-88.55857628719129	36.72749010258551	9.149921205824517	1.400631784717752	1.6830862284154529	47.62134114826706	-4720.941437985353
63000	-4809.622154090865	-4718.1683753706775	-91.45377872018717	36.97238965935425	9.149921205824517	1.400631784717752	1.6622310887794676	47.466062407103585	-4718.1683753706775
64000	-4807.783290556848	-4713.203049833335	-94.58024072351293	29.70645269188936	9.149921205824517	1.400631784717752	1.6516771019554137	46.657574069457745	-4713.203049833335
65000	-4803.29633668829	-4712.72564739056	-90.5706892977296	41.856901268476996	9.149921205824517	1.400631784717752	1.6516771019554137	49.127230354678744	-4712.72564739056
66000	-4815.466747409097	-4722.931868748958	-92.53487866013896	60.208998056961335	10.027471616745782	1.400631784717752	1.6516771019554137	48.080439552056646	-4722.931868748958
67000	-4808.69276699274	-4721.681160267225	-87.01160672551508	56.83366886517582	10.027471616745782	1.400631784717752	1.6644917008443392	49.23102710524454	-4721.681160267225
68000	-4799.078310702786	-4712.33748751586	-86.74082318692682	41.15791420554568	9.712349305600167	1.400631784717752	1.6571739981442872	47.82542138914541	-4712.33748751586
69000	-4808.087865780376	-4715.95746722146	-92.1303985589155	37.033637941791504	9.712349305600167	1.400631784717752	1.6571739981442872	48.43176236608286	-4715.95746722146
70000	-4802.946569231615	-4710.60312906672	-92.34344016489545	41.649500651461814	9.712349305600167	1.400631784717752	1.6571739981442872	47.26183774114497	-4710.60312906672
71000	-4796.762446007214	-4708.217819546276	-88.54462646093846	38.07692741437945	9.712349305600167	1.400631784717752	1.6571739981442872	48.32477977074459	-4708.217819546276
72000	-4808.121446689859	-4715.588813687263	-92.53263300259668	43.37387883584993	9.712349305600167	1.3980245393021524	1.6571739981442872	47.49631534152061	-4715.588813687263
73000	-4802.651420019101	-4705.995168364953	-96.65625165414826	38.247098682873755	9.712349305600167	1.3980245393021524	1.6571739981442872	47.33559997143378	-4705.995168364953
74000	-4811.22993457178	-4713.901085712428	-97.32884885935275	32.12474889925779	9.325882137429335	1.3980245393021524	1.6571739981442872	46.92129675423263	-4713.901085712428
75000	-4821.0388563699125	-4721.373198927176	-99.66565744273633	53.736681736009025	9.325882137429335	1.3980245393021524	1.6802273154460594	47.48462118884488	-4721.373198927176
76000	-4816.769227283519	-4719.416539595007	-97.35268768851212	42.380998769738895	8.54312513511728	1.3980245393021524	1.6802273154460594	47.64626499230465	-4719.416539595007
77000	-4817.442933579114	-4726.144037725186	-91.29889585392826	33.33557488629247	8.54312513511728	1.3980245393021524	1.6802273154460594	48.8714479521118	-4726.144037725186
78000	-4807.773912956413	-4714.243119072163	-93.53079388425078	33.302048921897715	7.946232192010768	1.38757677098609	1.681681694043559	48.176393585415084	-4714.243119072163
79000	-4797.154577826878	-4711.2646343527795	-85.88994347409889	66.82299069404792	7.946232192010768	1.3857708317162996	1.6961505963923795	49.65976724590431	-4711.2646343527795
80000	-4796.728480775749	-4711.401166404538	-85.32731437121066	79.16875762735968	8.55575012296249	1.3857708317162996	1.6882136818955993	49.36814356806957	-4711.401166404538
81000	-4800.532892573895	-4710.814296399291	-89.71859617460375	58.34397941380771	8.55575012296249	1.3857708317162996	1.6839509419872993	47.551761756348604	-4710.814296399291
82000	-4807.631146934228	-4709.673449105467	-97.95769782876123	58.34397941380771	7.5443887202617494	1.3857708317162996	1.721392908362605	50.17861336774865	-4709.673449105467
83000	-4804.078163406672	-4714.911540605728	-89.16662280094347	46.96280746083911	7.5443887202617494	1.3857708317162996	1.7204777958042956	49.28994981586694	-4714.911540605728
84000	-4802.777374578359	-4706.973486737717	-95.80388784064115	47.76976377697721	7.5443887202617494	1.3857708317162996	1.7204777958042956	49.438327167672504	-4706.973486737717
85000	-4796.273391864371	-4707.40078521411	-88.87260665026024	48.53245900804283	7.5443887202617494	1.3857708317162996	1.7204777958042956	49.566777822058675	-4707.40078521411
86000	-4799.364201466482	-4710.904326296435	-88.45987517004691	70.49383588712406	7.5443887202617494	1.3857708317162996	1.7204777958042956	51.10373362238221	-4710.904326296435
87000	-4801.642036347772	-4715.568745057859	-86.07329128991285	65.45915035020303	7.5443887202617494	1.3857708317162996	1.7095760771420003	50.14324542400756	-4715.568745057859
88000	-4807.915457897556	-4718.23187256793	-89.68358532962655	60.857917090612474	7.5443887202617494	1.3857708317162996	1.7095760771420003	49.916996097939425	-4718.23187256793
89000	-4796.782784458164	-4709.847256960704	-86.93552749746016	62.39943274841778	7.5443887202617494	1.3857708317162996	1.7095760771420003	49.94528305553779	-4709.847256960704
90000	-4802.037993421721	-4711.530956012385	-90.507037409336	69.14473471804703	7.5443887202617494	1.3857708317162996	1.7095760771420003	50.18840899910636	-4711.530956012385
91000	-4804.118173488765	-4720.17936810841	-83.93880538035474	81.74488225298722	7.5443887202617494	1.3857708317162996	1.7269496958226374	49.8600601121294	-4720.17936810841
92000	-4812.625886463601	-4724.0715152285175	-88.55437123508378	66.83633167813393	7.5443887202617494	1.3857708317162996	1.7324678287353905	50.18937835543397	-4724.0715152285175
93000	-4798.73399228021	-4706.2576724032315	-92.47631987697862	39.21903587924477	7.078052673742389	1.3857708317162996	1.7324678287353905	49.4483945520033	-4706.2576724032315
94000	-4808.80946119796	-4712.610326968843	-96.19913422911745	60.56400412634714	7.368171671159625	1.3857708317162996	1.7324678287353905	47.99268046235442	-4712.610326968843
95000	-4807.813009493964	-4714.264921025353	-93.54808846861124	39.54090110445726	7.840352894694233	1.3857708317162996	1.6910305813664197	48.580861986946715	-4714.264921025353
96000	-4798.814885329923	-4705.734298549638	-93.08058678028502	51.30584063250207	8.12768641925409	1.3857708317162996	1.6966170241617375	48.12097735961728	-4705.734298549638
97000	-4799.703213286717	-4706.0335040446325	-93.66970924208486	55.67389534868088	7.745265945679776	1.3857708317162996	1.715258107266643	49.19189618918254	-4706.0335040446325
98000	-4813.731263979027	-4719.704227621444	-94.02703635758311	50.89259825674581	7.510772818126018	1.3857708317162996	1.715258107266643	49.027467686942295	-4719.704227621444
99000	-4805.430373537251	-4711.842135854194	-93.58823768305756	66.56940535090725	7.870912337847049	1.3857708317162996	1.715258107266643	48.386027037199945	-4711.842135854194
100000	-4806.229794126907	-4710.495902054731	-95.73389207217556	24.801459399652106	7.310900622343708	1.3857708317162996	1.7169455816574284	48.2039305530799	-4710.495902054731
101000	-4807.028636644475	-4709.232282521371	-97.79635412310355	60.21138895729338	7.669035672043464	1.3857708317162996	1.7189519800363076	49.38784485018266	-4709.232282521371
102000	-4812.5568979705395	-4713.877920909278	-98.67897706126155	38.38185842773283	7.613574858782599	1.3857708317162996	1.7025988706289383	48.67416077488053	-4713.877920909278
103000	-4800.854855412502	-4709.501566567317	-91.35328884518488	39.56906841005548	7.808924949298154	1.3857708317162996	1.7025988706289383	49.49161387470117	-4709.501566567317
104000	-4804.170386287288	-4714.128723782508	-90.04166250477994	45.20548640993978	7.808924949298154	1.3857708317162996	1.7025988706289383	49.09260731030603	-4714.128723782508
105000	-4798.201787283726	-4712.056533416746	-86.1452538669804	55.33150979231162	7.808924949298154	1.3857708317162996	1.7083591947609253	49.42076924645839	-4712.056533416746
106000	-4807.753973701216	-4719.813194202845	-87.94077949837093	85.82716293897532	8.136322558608624	1.3857708317162996	1.7083446894007541	50.26126599015299	-4719.813194202845
107000	-4807.257159173847	-4712.492292219867	-94.76486695398027	35.48639843055411	7.387548649730249	1.3857708317162996	1.7305725949651896	49.54893440177775	-4712.492292219867
108000	-4802.210536998108	-4707.056039483672	-95.1544975144362	59.248757520430836	7.387548649730249	1.3857708317162996	1.725317501129125	48.95519146967453	-4707.056039483672
109000	-4807.9257737168355	-4709.141716183988	-98.78405753284716	59.248757520430836	6.491760767289477	1.3857708317162996	1.7771004368161973	50.34313271269799	-4709.141716183988
110000	-4812.295947145253	-4715.663975791034	-96.63197135421862	34.087389175498956	5.9006271258014396	1.3857708317162996	1.7894876952993	50.48299629344664	-4715.663975791034
111000	-4798.509542612909	-4706.889265741276	-91.62027687163277	44.27265865289876	6.196656544544877	1.3857708317162996	1.7810671649189407	50.52590448141005	-4706.889265741276
112000	-4796.512214600574	-4704.7179304161355	-91.79428418443898	52.1700297685235	6.464000989449889	1.3857708317162996	1.7597704369490315	50.757329280769596	-4704.7179304161355
113000	-4804.598674007758	-4712.340783511664	-92.25789049609342	59.501718135953006	6.647891530200998	1.3857708317162996	1.7496100241819181	51.129019640155356	-4712.340783511664
114000	-4805.172677373424	-4717.211600894903	-87.96107647852143	70.59152906547227	6.965557339642623	1.3857708317162996	1.7496100241819181	51.713797015409035	-4717.211600894903
115000	-4794.5917411281625	-4709.438811185068	-85.15292994309472	48.90417821459255	7.3155178679546955	1.3857708317162996	1.7192811619198631	51.42149595803832	-4709.438811185068
116000	-4797.627874114207	-4710.485879248677	-87.14199486552985	65.84370733513931	7.3155178679546955	1.3857708317162996	1.7192811619198631	50.092502565506415	-4710.485879248677
117000	-4804.763835917194	-4714.082610159526	-90.68122575766868	66.35198516496253	7.3155178679546955	1.3857708317162996	1.7192811619198631	49.17657479138262	-4714.082610159526
118000	-4805.377873277098	-4712.5089506670265	-92.86892261007156	30.278947315265125	7.3155178679546955	1.3857708317162996	1.7192811619198631	49.81560824260162	-4712.5089506670265
119000	-4812.7689096966715	-4717.819969889896	-94.94893980677512	43.533475204211854	7.964218238187441	1.3857708317162996	1.7192811619198631	49.473239399227815	-4717.819969889896
120000	-4812.123870823622	-4720.927056909842	-91.19681391378104	38.46188476134633	7.632531935980602	1.3857708317162996	1.7192811619198631	50.71194594177476	-4720.927056909842
121000	-4810.724899111309	-4725.81678035162	-84.90811875968934	53.14285580207344	7.971891518519346	1.3857708317162996	1.6952105345471309	49.67388902127183	-4725.81678035162
122000	-4801.121459033639	-4716.8609205185485	-84.26053851509117	77.67365982998405	7.971891518519346	1.3857708317162996	1.70780601863468	49.83428984893254	-4716.8609205185485
123000	-4805.191101115505	-4719.569497528285	-85.62160358721992	68.31212078579303	7.971891518519346	1.3857708317162996	1.7055843633033616	49.87961992809068	-4719.569497528285
124000	-4804.772596161328	-4714.508015180716	-90.26458098061178	59.58432366742617	7.971891518519346	1.3857708317162996	1.710784511523564	49.083448562678086	-4714.508015180716
125000	-4813.632144138985	-4719.19998011332	-94.43216402566522	40.57803664923255	7.532393131985005	1.3832808788336384	1.710784511523564	48.59165556173811	-4719.19998011332
126000	-4804.876784482982	-4714.648858836859	-90.22792564612207	43.742875803235336	8.056120327448022	1.3832808788336384	1.6924249192787175	49.591241764450906	-4714.648858836859
127000	-4818.166660593551	-4721.593636352747	-96.5730242408033	51.66659878293502	7.974001753398108	1.3636523676070136	1.6899067774285788	47.92127667068166	-4721.593636352747
128000	-4802.415748690175	-4715.604099579239	-86.81164911093562	78.7203703320336	7.974001753398108	1.3636523676070136	1.6725229482375246	48.59851521429653	-4715.604099579239
129000	-4799.280392438555	-4712.671180803428	-86.60921163512742	57.57213904067429	7.974001753398108	1.3636523676070136	1.6725229482375246	48.42561041622463	-4712.671180803428
130000	-4804.141681468247	-4712.8961670638655	-91.24551440438188	45.51711493545461	7.714501269963651	1.3636523676070136	1.6775278659482462	48.1377707474004	-4712.8961670638655
131000	-4799.054593369361	-4706.459686990132	-92.5949063792298	51.66567748997688	7.714501269963651	1.3636523676070136	1.6904204106112	47.82269160023819	-4706.459686990132
132000	-4799.338992964712	-4707.235006468131	-92.1039864965804	62.64522700115733	8.139851193895117	1.3636523676070136	1.6855543418457348	48.92302939377671	-4707.235006468131
133000	-4796.571999599206	-4708.1536064422235	-88.41839315698263	78.3296900475795	7.709732694000046	1.3636523676070136	1.693486767498372	49.90474995436265	-4708.1536064422235
134000	-4801.411748321457	-4709.594262878715	-91.81748544274177	36.67941913403057	7.461319673449678	1.3636523676070136	1.681118655573768	48.67866750765691	-4709.594262878715
135000	-4799.721099247367	-4708.588330018208	-91.13276922915979	71.49239127389522	7.821367632857649	1.3636523676070136	1.681118655573768	49.66045804454178	-4708.588330018208
136000	-4791.160232235125	-4706.61293954206	-84.54729269306421	49.35841613106793	7.821367632857649	1.3636523676070136	1.681118655573768	49.47889368606885	-4706.61293954206
137000	-4809.869748524846	-4714.879147391278	-94.99060113356803	67.46173419007062	7.279358302385296	1.3636523676070136	1.7127783782303807	48.71181327246528	-4714.879147391278
