Sample	posterior	likelihood	prior	N0_con	b_log	Ninf_log	t50_log	NInf_gomp	b_gom	t50_gom	b_exp	N0_exp	I	tree.height	tree.treeLength	D.treeLikelihood
18000	-71182.02532443732	-70883.33787298233	-298.68745145497996	105.23280377038795	0.04822236364601915	308.2824458310734	29.807815093988065	103.1056335685413	0.0055959842081589875	32.61600191295584	0.007000014404640395	646.6816193078931	3	361.0057557318765	2321.8246928576477	-70883.33787298233
19000	-71175.09946094459	-70883.4256532916	-291.6738076529865	68.96111242929234	0.04336318506784735	60.970824936017536	197.77149430595952	66.57227158157077	0.012211527508979917	36.86802877708399	0.004611697833160861	398.5975703601854	3	417.77946074379935	2448.114520199129	-70883.4256532916
20000	-71179.29891792493	-70880.58614561883	-298.71277230609735	119.88184780127511	0.0728205582148649	179.42899418942855	40.75080441927487	180.10520571281134	0.009303687962589758	111.84419730547796	0.0018767347731684914	324.0310880321442	3	278.3534853749363	2048.3642352009397	-70880.58614561883
21000	-71188.61289644765	-70892.37532082414	-296.237575623512	31.879976253447097	0.10540469951137439	312.72458446448553	90.32756906164174	150.3994704955064	0.01225273607729768	26.5302824926585	0.005861858264069719	614.8762901253881	3	369.14447755170414	2197.9440610073657	-70892.37532082414
22000	-71186.02596509534	-70891.87337873309	-294.15258636225707	63.93746363836	0.024737464725689075	86.17186623614992	96.89835909809737	307.0225159278669	0.010747915153775621	34.05176867000526	0.011551786089479956	614.8762901253881	3	294.63109263206513	2117.786052324249	-70891.87337873309
23000	-71187.77777528157	-70893.53464753096	-294.24312775060656	60.02613777185644	0.025595567472438057	34.27928789417137	102.80559183932121	59.39168263654753	0.026655565806014907	95.81942444609913	0.014061406759757356	845.0510533782514	3	245.63652661904322	1957.0667635610776	-70893.53464753096
24000	-71178.16786993429	-70881.75708228155	-296.4107876527485	83.77642027704299	0.04708784080622827	453.7437510749519	145.91864682282136	379.08017472501047	0.012205237595973738	54.425546841920216	0.008878417855307671	587.1910448855726	3	326.16136289422843	2105.934311085412	-70881.75708228155
25000	-71182.55969818986	-70891.69410046439	-290.8655977254616	70.29795892775252	0.0463170360680173	93.34111634897853	313.0524029205573	70.34799464393228	0.03379261318658463	33.93719801337278	0.011764412097527679	552.4896321300404	3	213.01691587776156	1867.9475711842854	-70891.69410046439
26000	-71180.69058629077	-70886.65350918054	-294.03707711022963	70.66083873898425	0.023489144197529326	469.15804193279854	255.6050178037421	232.7982523833624	0.018725601357339153	58.33493309654006	0.0066297596098052365	471.1636988588229	3	211.03984347506537	1870.3908887087134	-70886.65350918054
27000	-71177.2783505233	-70879.9752648983	-297.30308562500215	66.45387660338618	0.08994502298897425	253.2248536902604	90.07670329887642	55.32010886078809	0.033928679353716566	137.88095489486173	0.0027478600189046816	455.00630243825066	3	328.44911222169486	2085.1546073981576	-70879.9752648983
28000	-71170.6316425012	-70879.27380736014	-291.3578351410673	32.59199537227753	0.06196059349762567	39.67295485203631	174.4250149107206	37.52383131220599	0.011285889049531742	118.8866533354039	0.005149145917468745	348.4787219855777	3	249.67739041791702	2008.827927221911	-70879.27380736014
29000	-71187.23090562593	-70891.05742190631	-296.17348371961634	81.43258222687919	0.11569714726280468	134.933926817504	162.81438659273428	18.80582380290555	0.01892728132330685	82.07265216633782	0.010860860716803204	446.70886445356155	3	243.6506294246957	1982.307202626063	-70891.05742190631
